ISO_country_code,Country,Sub_national_region,World_region,MPI_National,MPI_Regional,Headcount_Ratio_Regional,Intensity_of_deprivation_Regional
GTM,Guatemala,Guatemala Resto,Latin America and Caribbean,0.113,0.036,8.4,43.4
GTM,Guatemala,Huehuetenango,Latin America and Caribbean,0.113,0.187,38.2,48.9
GTM,Guatemala,Izabal,Latin America and Caribbean,0.113,0.106,24.2,43.8
GTM,Guatemala,Jalapa,Latin America and Caribbean,0.113,0.165,33.9,48.6
GTM,Guatemala,Jutiapa,Latin America and Caribbean,0.113,0.113,24.6,45.8
GTM,Guatemala,Peten,Latin America and Caribbean,0.113,0.134,29.8,44.8
GTM,Guatemala,Quetzaltenango,Latin America and Caribbean,0.113,0.094,21.1,44.5
GTM,Guatemala,Quiche,Latin America and Caribbean,0.113,0.193,41.5,46.4
GTM,Guatemala,Retalhuleu,Latin America and Caribbean,0.113,0.1,22.8,43.8
GTM,Guatemala,Sacatepequez,Latin America and Caribbean,0.113,0.048,11.7,41.3
GTM,Guatemala,San Marcos,Latin America and Caribbean,0.113,0.123,27.1,45.3
GTM,Guatemala,Santa Rosa,Latin America and Caribbean,0.113,0.093,21.3,43.7
GTM,Guatemala,Solola,Latin America and Caribbean,0.113,0.09,20.9,43.2
GTM,Guatemala,Suchitepequez,Latin America and Caribbean,0.113,0.112,26.2,42.7
GTM,Guatemala,Totonicapan,Latin America and Caribbean,0.113,0.121,26.3,46.1
GTM,Guatemala,Zacapa,Latin America and Caribbean,0.113,0.112,23.9,46.8
GUY,Guyana,Barima-Waini,Latin America and Caribbean,0.013,0.057,15,38
GUY,Guyana,Cuyuni-Mazaruni and Potaro-Siparuni,Latin America and Caribbean,0.013,0.095,22.1,42.8
GUY,Guyana,Demerara-Mahaica,Latin America and Caribbean,0.013,0.004,1.2,36.7
GUY,Guyana,East Berbice-Corentyne,Latin America and Caribbean,0.013,0.006,1.7,37.6
GUY,Guyana,Essequibo Islands-West Demerara,Latin America and Caribbean,0.013,0.005,1.3,38.2
GUY,Guyana,Mahaica-Berbice,Latin America and Caribbean,0.013,0.006,1.5,38.2
GUY,Guyana,Pomeroon-Supenaam,Latin America and Caribbean,0.013,0.014,3.5,40.4
GUY,Guyana,Upper Demerara-Berbice,Latin America and Caribbean,0.013,0.004,1.1,37
GUY,Guyana,Upper Takutu-Upper Essequibo,Latin America and Caribbean,0.013,0.145,34,42.6
HND,Honduras,Atlðntida,Latin America and Caribbean,0.072,0.045,10.1,45.1
HND,Honduras,Colðn,Latin America and Caribbean,0.072,0.058,13.4,43.5
HND,Honduras,Comayagua,Latin America and Caribbean,0.072,0.077,16.7,46.1
HND,Honduras,Copðn,Latin America and Caribbean,0.072,0.161,33.2,48.4
HND,Honduras,Cortðs,Latin America and Caribbean,0.072,0.026,6,42.5
HND,Honduras,Choluteca,Latin America and Caribbean,0.072,0.108,23.4,46
HND,Honduras,El Paraðso,Latin America and Caribbean,0.072,0.095,20.9,45.2
HND,Honduras,Francisco Morazðn,Latin America and Caribbean,0.072,0.031,6.9,44.3
HND,Honduras,Gracias a Dios,Latin America and Caribbean,0.072,0.124,29.5,42.2
HND,Honduras,Intibucð,Latin America and Caribbean,0.072,0.139,29.9,46.4
HND,Honduras,Islas de la Bahða,Latin America and Caribbean,0.072,0.017,4.5,38.2
HND,Honduras,La Paz,Latin America and Caribbean,0.072,0.107,23.5,45.6
HND,Honduras,Lempira,Latin America and Caribbean,0.072,0.201,41.9,48
HND,Honduras,Ocotepeque,Latin America and Caribbean,0.072,0.109,22.5,48.2
HND,Honduras,Olancho,Latin America and Caribbean,0.072,0.089,19.2,46.5
HND,Honduras,Santa Bðrbara,Latin America and Caribbean,0.072,0.076,16.9,45.1
HND,Honduras,Valle,Latin America and Caribbean,0.072,0.068,15.7,43.1
HND,Honduras,Yoro,Latin America and Caribbean,0.072,0.073,16.4,44.6
HTI,Haiti,Aire Mðtropolitaine/Reste-Ouest,Latin America and Caribbean,0.248,0.162,33.6,48.1
HTI,Haiti,Sud-Est,Latin America and Caribbean,0.248,0.307,62.6,49.1
HTI,Haiti,Nord,Latin America and Caribbean,0.248,0.244,48.4,50.5
HTI,Haiti,Nord-Est,Latin America and Caribbean,0.248,0.323,62.8,51.4
HTI,Haiti,Artibonite,Latin America and Caribbean,0.248,0.316,60.6,52.1
HTI,Haiti,Centre,Latin America and Caribbean,0.248,0.391,73.6,53.1
HTI,Haiti,Sud,Latin America and Caribbean,0.248,0.249,50.4,49.4
HTI,Haiti,Grande-Anse,Latin America and Caribbean,0.248,0.378,71.8,52.6
HTI,Haiti,Nord-Ouest,Latin America and Caribbean,0.248,0.311,62.8,49.6
HTI,Haiti,Nippes,Latin America and Caribbean,0.248,0.257,53.7,47.9
IDN,Indonesia,Aceh,East Asia and the Pacific,0.066,0.077,18.3,42
IDN,Indonesia,North Sumatera,East Asia and the Pacific,0.066,0.071,16,44.3
IDN,Indonesia,West Sumatera,East Asia and the Pacific,0.066,0.056,13.5,41.2
IDN,Indonesia,Riau,East Asia and the Pacific,0.066,0.053,13.2,40.2
IDN,Indonesia,Jambi,East Asia and the Pacific,0.066,0.072,17,42.4
IDN,Indonesia,South Sumatera,East Asia and the Pacific,0.066,0.054,12.7,42
IDN,Indonesia,Bengkulu,East Asia and the Pacific,0.066,0.059,13.4,44.1
IDN,Indonesia,Lampung,East Asia and the Pacific,0.066,0.065,15.2,42.9
IDN,Indonesia,Bangka Belitung,East Asia and the Pacific,0.066,0.053,13.4,39.2
IDN,Indonesia,Riau Islands,East Asia and the Pacific,0.066,0.041,10.1,40.2
IDN,Indonesia,DKI Jakarta,East Asia and the Pacific,0.066,0.029,7.8,36.8
IDN,Indonesia,West Java,East Asia and the Pacific,0.066,0.057,14.4,39.5
IDN,Indonesia,Central Java,East Asia and the Pacific,0.066,0.053,12.9,41.3
IDN,Indonesia,DI Yogyakarta,East Asia and the Pacific,0.066,0.025,6.3,38.7
IDN,Indonesia,East Java,East Asia and the Pacific,0.066,0.055,13,42.5
IDN,Indonesia,Banten,East Asia and the Pacific,0.066,0.075,17.5,42.7
IDN,Indonesia,Bali,East Asia and the Pacific,0.066,0.042,10.3,40.9
IDN,Indonesia,West Nusa Tenggara,East Asia and the Pacific,0.066,0.121,26.6,45.3
IDN,Indonesia,East Nusa Tenggara,East Asia and the Pacific,0.066,0.164,34,48.3
IDN,Indonesia,West Kalimantan,East Asia and the Pacific,0.066,0.086,18.6,46.2
IDN,Indonesia,Central Kalimantan,East Asia and the Pacific,0.066,0.084,19.1,44.3
IDN,Indonesia,South Kalimantan,East Asia and the Pacific,0.066,0.085,18.5,45.9
IDN,Indonesia,East Kalimantan,East Asia and the Pacific,0.066,0.058,14.1,41.3
IDN,Indonesia,North Sulawesi,East Asia and the Pacific,0.066,0.059,13.1,45.2
IDN,Indonesia,Central Sulawesi,East Asia and the Pacific,0.066,0.132,27.8,47.5
IDN,Indonesia,South Sulawesi,East Asia and the Pacific,0.066,0.063,15.3,41.5
IDN,Indonesia,Southeast Sulawesi,East Asia and the Pacific,0.066,0.109,23,47.3
IDN,Indonesia,Gorontalo,East Asia and the Pacific,0.066,0.128,26.6,47.9
IDN,Indonesia,West Sulawesi,East Asia and the Pacific,0.066,0.161,31.8,50.6
IDN,Indonesia,Maluku,East Asia and the Pacific,0.066,0.105,23,45.8
IDN,Indonesia,North Maluku,East Asia and the Pacific,0.066,0.129,28.2,45.7
IDN,Indonesia,West Papua,East Asia and the Pacific,0.066,0.122,25.2,48.5
IDN,Indonesia,Papua,East Asia and the Pacific,0.066,0.234,44.6,52.6
IRQ,Iraq,Dohuk,Arab States,0.045,0.031,8.7,35.3
IRQ,Iraq,Ninewa,Arab States,0.045,0.054,13.8,39.2
IRQ,Iraq,Suleimaniya,Arab States,0.045,0.01,2.7,34.9
IRQ,Iraq,Kirkuk,Arab States,0.045,0.035,9.8,35.5
IRQ,Iraq,Erbil,Arab States,0.045,0.031,8.2,37.7
IRQ,Iraq,Diyala,Arab States,0.045,0.038,10,37.9
IRQ,Iraq,Al-Anbar,Arab States,0.045,0.052,14,37.3
IRQ,Iraq,Baghdad,Arab States,0.045,0.027,7.5,36
IRQ,Iraq,Babil,Arab States,0.045,0.042,10.8,38.4
IRQ,Iraq,Karbala,Arab States,0.045,0.053,12.4,43
IRQ,Iraq,Wasit,Arab States,0.045,0.058,14.2,40.8
IRQ,Iraq,Salahaddin,Arab States,0.045,0.054,13.8,39.1
IRQ,Iraq,Al-Najaf,Arab States,0.045,0.055,14.1,39
IRQ,Iraq,Al-Qadisiya,Arab States,0.045,0.082,19.6,42.1
IRQ,Iraq,Al-Muthanna,Arab States,0.045,0.079,19.9,39.5
IRQ,Iraq,Thi-Qar,Arab States,0.045,0.06,15.3,39.5
IRQ,Iraq,Missan,Arab States,0.045,0.098,24.1,40.6
IRQ,Iraq,Basrah,Arab States,0.045,0.045,12.5,35.9
JAM,Jamaica,Kingston,Latin America and Caribbean,0.007,0.009,2.2,39.1
JAM,Jamaica,St.  Andrew,Latin America and Caribbean,0.007,0.007,1.9,39.8
JAM,Jamaica,St. Thomas,Latin America and Caribbean,0.007,0.006,1.5,41.4
JAM,Jamaica,Portland,Latin America and Caribbean,0.007,0.004,1.2,36.1
JAM,Jamaica,St. Mary,Latin America and Caribbean,0.007,0.009,2.7,34.9
JAM,Jamaica,St. Ann,Latin America and Caribbean,0.007,0.004,1.1,38.3
JAM,Jamaica,Trelawny,Latin America and Caribbean,0.007,0.016,3.8,41.4
JAM,Jamaica,St. James,Latin America and Caribbean,0.007,0.003,0.7,38.5
JAM,Jamaica,Hanover,Latin America and Caribbean,0.007,0.007,1.9,35.4
JAM,Jamaica,Westmoreland,Latin America and Caribbean,0.007,0.004,1,40.2
JAM,Jamaica,St. Elizabeth,Latin America and Caribbean,0.007,0.013,3.2,41.5
JAM,Jamaica,Manchester,Latin America and Caribbean,0.007,0.006,1.5,36.6
JAM,Jamaica,Clarendon,Latin America and Caribbean,0.007,0.014,3.7,37.9
JAM,Jamaica,St. Catherine,Latin America and Caribbean,0.007,0.004,0.8,41.8
JOR,Jordan,Central,Arab States,0.006,0.005,1.6,34.9
JOR,Jordan,North,Arab States,0.006,0.006,1.8,35.5
JOR,Jordan,South,Arab States,0.006,0.008,2.2,34.2
KEN,Kenya,Central,Sub-Saharan Africa,0.187,0.075,18.2,40.9
KEN,Kenya,Coast,Sub-Saharan Africa,0.187,0.242,49.5,48.8
KEN,Kenya,Eastern,Sub-Saharan Africa,0.187,0.19,41.9,45.3
KEN,Kenya,Nairobi,Sub-Saharan Africa,0.187,0.02,4.8,41.9
KEN,Kenya,North Eastern,Sub-Saharan Africa,0.187,0.509,83.3,61.1
KEN,Kenya,Nyanza,Sub-Saharan Africa,0.187,0.211,47.7,44.2
KEN,Kenya,Rift Valley,Sub-Saharan Africa,0.187,0.205,42.4,48.3
KEN,Kenya,Western,Sub-Saharan Africa,0.187,0.223,50,44.5
KHM,Cambodia,Banteay Mean Chey,East Asia and the Pacific,0.146,0.097,22.6,42.7
KHM,Cambodia,Battambang & Pailin,East Asia and the Pacific,0.146,0.104,22.8,45.4
KHM,Cambodia,Kampong Cham,East Asia and the Pacific,0.146,0.16,37.4,42.9
KHM,Cambodia,Kampong Chhnang,East Asia and the Pacific,0.146,0.193,44.6,43.3
KHM,Cambodia,Kampong Speu,East Asia and the Pacific,0.146,0.182,42.5,42.7
KHM,Cambodia,Kampong Thom,East Asia and the Pacific,0.146,0.183,41,44.5
KHM,Cambodia,Kampot & Kep,East Asia and the Pacific,0.146,0.155,35.1,44.2
KHM,Cambodia,Kandal,East Asia and the Pacific,0.146,0.121,29.3,41.3
KHM,Cambodia,Kratie,East Asia and the Pacific,0.146,0.274,55.6,49.3
KHM,Cambodia,Mondol Kiri & Rattanak Kiri,East Asia and the Pacific,0.146,0.28,54.4,51.5
KHM,Cambodia,Otdar Mean Chey,East Asia and the Pacific,0.146,0.196,45.7,43
KHM,Cambodia,Phnom Penh,East Asia and the Pacific,0.146,0.026,7,38
KHM,Cambodia,Preah Sihanouk & Kaoh Kong,East Asia and the Pacific,0.146,0.091,19.8,45.8
KHM,Cambodia,Preah Vihear & Steung Treng,East Asia and the Pacific,0.146,0.304,62.2,48.8
KHM,Cambodia,Prey Veng,East Asia and the Pacific,0.146,0.12,28.1,42.7
KHM,Cambodia,Pursat,East Asia and the Pacific,0.146,0.221,47.2,46.7
KHM,Cambodia,Siem Reap,East Asia and the Pacific,0.146,0.204,43.3,47.1
KHM,Cambodia,Svay Rieng,East Asia and the Pacific,0.146,0.1,24.8,40.2
KHM,Cambodia,Takeo,East Asia and the Pacific,0.146,0.106,25.8,41.2
LAO,Lao People's Democratic Republic,Vientiane Capital,East Asia and the Pacific,0.174,0.012,2.8,41.1
LAO,Lao People's Democratic Republic,Phongsaly,East Asia and the Pacific,0.174,0.311,56.1,55.5
LAO,Lao People's Democratic Republic,Luangnamtha,East Asia and the Pacific,0.174,0.165,35.5,46.5
LAO,Lao People's Democratic Republic,Oudomxay,East Asia and the Pacific,0.174,0.248,50.2,49.5
LAO,Lao People's Democratic Republic,Bokeo,East Asia and the Pacific,0.174,0.212,39.8,53.4
LAO,Lao People's Democratic Republic,Luangprabang,East Asia and the Pacific,0.174,0.18,36.4,49.6
LAO,Lao People's Democratic Republic,Huaphanh,East Asia and the Pacific,0.174,0.184,37.9,48.5
LAO,Lao People's Democratic Republic,Xayabury,East Asia and the Pacific,0.174,0.079,17.9,43.9
LAO,Lao People's Democratic Republic,Xiengkhuang,East Asia and the Pacific,0.174,0.164,33.2,49.4
LAO,Lao People's Democratic Republic,Vientiane,East Asia and the Pacific,0.174,0.063,14.2,44.7
LAO,Lao People's Democratic Republic,Borikhamxay,East Asia and the Pacific,0.174,0.063,14.1,44.5
LAO,Lao People's Democratic Republic,Khammuane,East Asia and the Pacific,0.174,0.2,40.1,49.9
LAO,Lao People's Democratic Republic,Savannakhet,East Asia and the Pacific,0.174,0.262,49.7,52.8
LAO,Lao People's Democratic Republic,Saravane,East Asia and the Pacific,0.174,0.359,62.8,57.2
LAO,Lao People's Democratic Republic,Sekong,East Asia and the Pacific,0.174,0.254,50,50.9
LAO,Lao People's Democratic Republic,Champasack,East Asia and the Pacific,0.174,0.149,31.4,47.6
LAO,Lao People's Democratic Republic,Attapeu,East Asia and the Pacific,0.174,0.215,43.3,49.8
LBR,Liberia,Bomi,Sub-Saharan Africa,0.374,0.407,79.1,51.4
LBR,Liberia,Bong,Sub-Saharan Africa,0.374,0.508,83.9,60.6
LBR,Liberia,Gbarpolu,Sub-Saharan Africa,0.374,0.505,86.3,58.5
LBR,Liberia,Grand Bassa,Sub-Saharan Africa,0.374,0.527,86.7,60.7
LBR,Liberia,Grand Cape Mount,Sub-Saharan Africa,0.374,0.482,85.6,56.3
LBR,Liberia,Grand Gedeh,Sub-Saharan Africa,0.374,0.349,74.9,46.6
LBR,Liberia,Grand Kru,Sub-Saharan Africa,0.374,0.48,90.6,52.9
LBR,Liberia,Lofa,Sub-Saharan Africa,0.374,0.457,83.1,55
LBR,Liberia,Margibi,Sub-Saharan Africa,0.374,0.364,72.7,50.1
LBR,Liberia,Maryland,Sub-Saharan Africa,0.374,0.388,77.3,50.2
LBR,Liberia,Montserrado,Sub-Saharan Africa,0.374,0.25,54.2,46.2
LBR,Liberia,Nimba,Sub-Saharan Africa,0.374,0.377,72,52.4
LBR,Liberia,River Cess,Sub-Saharan Africa,0.374,0.536,94.5,56.7
LBR,Liberia,River Gee,Sub-Saharan Africa,0.374,0.433,81.4,53.1
LBR,Liberia,Sinoe,Sub-Saharan Africa,0.374,0.445,84.4,52.7
LSO,Lesotho,Berea,Sub-Saharan Africa,0.14,0.106,26,40.6
LSO,Lesotho,Botha-Bothe,Sub-Saharan Africa,0.14,0.149,33.2,44.9
LSO,Lesotho,Leribe,Sub-Saharan Africa,0.14,0.106,25.6,41.4
LSO,Lesotho,Mafeteng,Sub-Saharan Africa,0.14,0.131,31.3,41.9
LSO,Lesotho,Maseru,Sub-Saharan Africa,0.14,0.082,19.7,41.5
LSO,Lesotho,Mohale'S Hoek,Sub-Saharan Africa,0.14,0.178,38.3,46.5
LSO,Lesotho,Mokhotlong,Sub-Saharan Africa,0.14,0.291,61.5,47.3
LSO,Lesotho,Qacha'S-Nek,Sub-Saharan Africa,0.14,0.173,40.8,42.5
LSO,Lesotho,Quthing,Sub-Saharan Africa,0.14,0.151,34.4,43.8
LSO,Lesotho,Thaba Tseka,Sub-Saharan Africa,0.14,0.267,56.8,47
MAR,Morocco,Sahara,Arab States,0.067,0.017,4.2,39.6
MAR,Morocco,Souss-Massa-Draa,Arab States,0.067,0.102,22.4,45.7
MAR,Morocco,El Gharb-Chrarda Bni Hssen,Arab States,0.067,0.084,19.5,43.2
MAR,Morocco,Chaouia Ourdigha,Arab States,0.067,0.066,15.8,41.6
MAR,Morocco,Marrakech-Tensift-El Haouz,Arab States,0.067,0.131,28.3,46.2
MAR,Morocco,Rðgion Oriental,Arab States,0.067,0.049,12,40.6
MAR,Morocco,Grand Casablanca,Arab States,0.067,0.003,0.7,39.6
MAR,Morocco,Rabat-Salð-Zemmour-Zair,Arab States,0.067,0.016,4.2,38.9
MAR,Morocco,Doukkala-Abda,Arab States,0.067,0.06,14.2,42.3
MAR,Morocco,Tadla-Azilal,Arab States,0.067,0.07,16.7,42.2
MAR,Morocco,Meknes-Tafilalet,Arab States,0.067,0.037,9.2,40.6
MAR,Morocco,Fes-Boulemane,Arab States,0.067,0.042,10.1,41.7
MAR,Morocco,Taza-Al Hoceima-Taounate,Arab States,0.067,0.123,28,44
MAR,Morocco,Tanger-Tetouan,Arab States,0.067,0.083,19,43.7
MDG,Madagascar,Analamanga,Sub-Saharan Africa,0.357,0.178,36.5,48.6
MDG,Madagascar,Vakinankaratra,Sub-Saharan Africa,0.357,0.357,70.2,50.9
MDG,Madagascar,Itasy,Sub-Saharan Africa,0.357,0.397,73.8,53.8
MDG,Madagascar,Bongolava,Sub-Saharan Africa,0.357,0.319,68.3,46.7
MDG,Madagascar,Haute Matsiatra,Sub-Saharan Africa,0.357,0.4,73.5,54.5
MDG,Madagascar,Anamoroni'i Mania,Sub-Saharan Africa,0.357,0.409,71.2,57.4
MDG,Madagascar,Vatovavy Fitovinany,Sub-Saharan Africa,0.357,0.514,89.7,57.3
MDG,Madagascar,Ihorombe,Sub-Saharan Africa,0.357,0.448,82.9,54
MDG,Madagascar,Atsimo Atsinanana,Sub-Saharan Africa,0.357,0.531,89.8,59.1
MDG,Madagascar,Atsinanana,Sub-Saharan Africa,0.357,0.269,53.8,49.9
MDG,Madagascar,Analanjirofo,Sub-Saharan Africa,0.357,0.383,73.3,52.3
MDG,Madagascar,Alaotra Mangoro,Sub-Saharan Africa,0.357,0.309,63.9,48.4
MDG,Madagascar,Boeny,Sub-Saharan Africa,0.357,0.31,58,53.5
MDG,Madagascar,Sofia,Sub-Saharan Africa,0.357,0.32,61.9,51.7
MDG,Madagascar,Betsiboka,Sub-Saharan Africa,0.357,0.433,76,57
MDG,Madagascar,Melaky,Sub-Saharan Africa,0.357,0.509,86.9,58.6
MDG,Madagascar,Atsimo Andrefana,Sub-Saharan Africa,0.357,0.427,74.9,57
MDG,Madagascar,Androy,Sub-Saharan Africa,0.357,0.547,93,58.8
MDG,Madagascar,Anosy,Sub-Saharan Africa,0.357,0.486,83.2,58.5
MDG,Madagascar,Menabe,Sub-Saharan Africa,0.357,0.417,77.5,53.8
MDG,Madagascar,Diana,Sub-Saharan Africa,0.357,0.294,60,49.1
MDG,Madagascar,Sava,Sub-Saharan Africa,0.357,0.327,65.9,49.7
MLI,Mali,Kayes,Sub-Saharan Africa,0.457,0.485,82.8,58.6
MLI,Mali,Koulikoro,Sub-Saharan Africa,0.457,0.44,75.5,58.2
MLI,Mali,Sikasso,Sub-Saharan Africa,0.457,0.484,83.8,57.8
MLI,Mali,Sðgou,Sub-Saharan Africa,0.457,0.498,83.2,59.8
MLI,Mali,Mopti,Sub-Saharan Africa,0.457,0.594,90.5,65.6
MLI,Mali,Bamako,Sub-Saharan Africa,0.457,0.168,37.3,44.9
MMR,Myanmar,Ayeyarwaddy,East Asia and the Pacific,0.134,0.171,39,43.8
MMR,Myanmar,Bago,East Asia and the Pacific,0.134,0.129,30.6,42.3
MMR,Myanmar,Chin,East Asia and the Pacific,0.134,0.152,33.8,44.9
MMR,Myanmar,Kachin,East Asia and the Pacific,0.134,0.083,19,43.9
MMR,Myanmar,Kayah,East Asia and the Pacific,0.134,0.099,23,43.2
MMR,Myanmar,Kayin,East Asia and the Pacific,0.134,0.183,36.9,49.6
MMR,Myanmar,Magway,East Asia and the Pacific,0.134,0.114,27.4,41.7
MMR,Myanmar,Mandalay,East Asia and the Pacific,0.134,0.099,24.1,41
MMR,Myanmar,Mon,East Asia and the Pacific,0.134,0.109,24.8,43.7
MMR,Myanmar,Naypyitaw,East Asia and the Pacific,0.134,0.11,26.1,42.1
MMR,Myanmar,Rakhine,East Asia and the Pacific,0.134,0.258,51.3,50.2
MMR,Myanmar,Sagaing,East Asia and the Pacific,0.134,0.134,31.6,42.6
MMR,Myanmar,Shan,East Asia and the Pacific,0.134,0.194,39.5,49.3
MMR,Myanmar,Taninthayi,East Asia and the Pacific,0.134,0.129,28.9,44.7
MMR,Myanmar,Yangon,East Asia and the Pacific,0.134,0.051,12.5,40.8
MNG,Mongolia,Central,East Asia and the Pacific,0.041,0.041,9.9,41
MNG,Mongolia,Eastern,East Asia and the Pacific,0.041,0.044,11.1,39.9
MNG,Mongolia,Khangai,East Asia and the Pacific,0.041,0.075,18.3,41
MNG,Mongolia,Ulaanbaatar,East Asia and the Pacific,0.041,0.006,1.7,35.3
MNG,Mongolia,Western,East Asia and the Pacific,0.041,0.09,21.2,42.5
MOZ,Mozambique,Niassa,Sub-Saharan Africa,0.389,0.443,79,56.1
MOZ,Mozambique,Cabo Delgado,Sub-Saharan Africa,0.389,0.525,87,60.4
MOZ,Mozambique,Nampula,Sub-Saharan Africa,0.389,0.4,74,54
MOZ,Mozambique,Zambðzia,Sub-Saharan Africa,0.389,0.528,88.1,60
MOZ,Mozambique,Tete,Sub-Saharan Africa,0.389,0.466,80.5,57.9
MOZ,Mozambique,Manica,Sub-Saharan Africa,0.389,0.301,60.7,49.6
MOZ,Mozambique,Sofala,Sub-Saharan Africa,0.389,0.381,69.8,54.6
MOZ,Mozambique,Inhambane,Sub-Saharan Africa,0.389,0.295,60.1,49.1
MOZ,Mozambique,Gaza,Sub-Saharan Africa,0.389,0.306,60.1,51
MOZ,Mozambique,Maputo Provðncia,Sub-Saharan Africa,0.389,0.133,28.4,46.9
MOZ,Mozambique,Maputo Cidade,Sub-Saharan Africa,0.389,0.043,10.5,41.3
MRT,Mauritania,Hodh Charghy,Sub-Saharan Africa,0.285,0.412,75.3,54.7
MRT,Mauritania,Hodh Gharby,Sub-Saharan Africa,0.285,0.438,77.1,56.9
MRT,Mauritania,Assaba,Sub-Saharan Africa,0.285,0.419,71.6,58.4
MRT,Mauritania,Gorgol,Sub-Saharan Africa,0.285,0.46,79,58.1
MRT,Mauritania,Brakna,Sub-Saharan Africa,0.285,0.307,58.2,52.7
MRT,Mauritania,Trarza,Sub-Saharan Africa,0.285,0.181,38.6,46.9
MRT,Mauritania,Adrar,Sub-Saharan Africa,0.285,0.184,36.6,50.3
MRT,Mauritania,Dakhlett Nouadibou,Sub-Saharan Africa,0.285,0.039,9.3,42.1
MRT,Mauritania,Tagant,Sub-Saharan Africa,0.285,0.322,61.9,52
MRT,Mauritania,Guidimagha,Sub-Saharan Africa,0.285,0.499,81.7,61.1
MRT,Mauritania,Tirs-Ezemour,Sub-Saharan Africa,0.285,0.085,18.9,45.2
MRT,Mauritania,Nouakchott,Sub-Saharan Africa,0.285,0.102,22.3,45.7
MWI,Malawi,Balaka,Sub-Saharan Africa,0.251,0.283,61.6,45.9
MWI,Malawi,Blantyre City,Sub-Saharan Africa,0.251,0.118,27.3,43.1
MWI,Malawi,Blantyre Rural,Sub-Saharan Africa,0.251,0.245,54.6,44.9
MWI,Malawi,Chikwawa,Sub-Saharan Africa,0.251,0.292,61.8,47.3
MWI,Malawi,Chitipa,Sub-Saharan Africa,0.251,0.161,38.8,41.5
MWI,Malawi,Chradzulu,Sub-Saharan Africa,0.251,0.241,54.2,44.5
MWI,Malawi,Dedza,Sub-Saharan Africa,0.251,0.314,65.3,48.1
MWI,Malawi,Dowa,Sub-Saharan Africa,0.251,0.267,56.4,47.3
MWI,Malawi,Karonga,Sub-Saharan Africa,0.251,0.204,48,42.4
MWI,Malawi,Kasungu,Sub-Saharan Africa,0.251,0.244,53.8,45.3
MWI,Malawi,Likoma,Sub-Saharan Africa,0.251,0.114,27.6,41.3
MWI,Malawi,Lilongwe City,Sub-Saharan Africa,0.251,0.092,22,41.6
MWI,Malawi,Lilongwe Rural,Sub-Saharan Africa,0.251,0.286,60.7,47
MWI,Malawi,Machinga,Sub-Saharan Africa,0.251,0.322,66.6,48.4
MWI,Malawi,Mangochi,Sub-Saharan Africa,0.251,0.302,60.6,49.9
MWI,Malawi,Mchinji,Sub-Saharan Africa,0.251,0.314,66.6,47.1
MWI,Malawi,Mulange,Sub-Saharan Africa,0.251,0.286,60.8,47
MWI,Malawi,Mwanza,Sub-Saharan Africa,0.251,0.254,51.4,49.4
MWI,Malawi,Mzimba,Sub-Saharan Africa,0.251,0.205,45.6,44.9
MWI,Malawi,Mzuzu City,Sub-Saharan Africa,0.251,0.034,9.2,36.8
MWI,Malawi,Ndanje,Sub-Saharan Africa,0.251,0.285,59.1,48.2
MWI,Malawi,Neno,Sub-Saharan Africa,0.251,0.316,65.7,48.1
MWI,Malawi,Nkhatabay,Sub-Saharan Africa,0.251,0.215,48.2,44.7
MWI,Malawi,Nkhota Kota,Sub-Saharan Africa,0.251,0.245,51.9,47.2
MWI,Malawi,Ntcheu,Sub-Saharan Africa,0.251,0.211,49.2,43
MWI,Malawi,Ntchisi,Sub-Saharan Africa,0.251,0.259,55.6,46.6
MWI,Malawi,Phalombe,Sub-Saharan Africa,0.251,0.293,60.8,48.2
MWI,Malawi,Rumphi,Sub-Saharan Africa,0.251,0.205,49.2,41.7
MWI,Malawi,Salima,Sub-Saharan Africa,0.251,0.334,66.8,50
MWI,Malawi,Thyolo,Sub-Saharan Africa,0.251,0.259,55.4,46.8
MWI,Malawi,Zomba City,Sub-Saharan Africa,0.251,0.053,12.2,42.9
MWI,Malawi,Zomba Rural,Sub-Saharan Africa,0.251,0.27,57.5,47
NAM,Namibia,Caprivi,Sub-Saharan Africa,0.193,0.174,40,43.5
NAM,Namibia,Erongo,Sub-Saharan Africa,0.193,0.044,11.2,39.1
NAM,Namibia,Hardap,Sub-Saharan Africa,0.193,0.103,24.2,42.7
NAM,Namibia,Karas,Sub-Saharan Africa,0.193,0.098,22.5,43.6
NAM,Namibia,Kavango,Sub-Saharan Africa,0.193,0.373,74.3,50.2
NAM,Namibia,Khomas,Sub-Saharan Africa,0.193,0.06,15.7,38.4
NAM,Namibia,Kunene,Sub-Saharan Africa,0.193,0.238,48.7,48.9
NAM,Namibia,Ohangwena,Sub-Saharan Africa,0.193,0.348,70.9,49.1
NAM,Namibia,Omaheke,Sub-Saharan Africa,0.193,0.232,46.8,49.5
NAM,Namibia,Omusati,Sub-Saharan Africa,0.193,0.283,62.9,45
NAM,Namibia,Oshana,Sub-Saharan Africa,0.193,0.156,39.3,39.7
NAM,Namibia,Oshikoto,Sub-Saharan Africa,0.193,0.218,47.9,45.6
NAM,Namibia,Otjozondjupa,Sub-Saharan Africa,0.193,0.116,24.7,47.1
NER,Niger,Agadez,Sub-Saharan Africa,0.605,0.405,69.9,58
