Country Code,"GNI per capita, PPP (constant 2011 international $)",Lifetime risk of maternal death (%),"Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, tertiary (% gross)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)"
NAM,9612.43616,1.027676709,64.68019512,113.7562458,33.4,0,0,0,0,0,0,0,0,0
NRU,0,0,0,0,29.7,104.9900208,100.4010696,109.5364227,82.63665771,83.44371033,81.875,0,0,0
NPL,2304.805517,0.704186988,69.60468293,81.86605331,30.5,135.2338257,140.6295319,130.1083832,66.86894989,68.89868164,64.92173767,15.83248043,0,0
NLD,45556.78012,0.011585043,81.70731707,116.4234077,3.3,104.4383926,104.0950394,104.7655106,132.3171082,0,0,0,0,0
NCL,0,0,77.57317073,93.56333518,0,0,0,0,0,0,0,0,0,0
NZL,33039.99511,0.022460077,81.40487805,112.0546897,4.8,98.63333893,98.45932007,98.7990036,117.4900208,120.9874115,114.1710663,80.8829422,94.00688171,68.19133759
NIC,4658.423083,0.388376029,74.81014634,114.5655993,19.4,0,0,0,0,0,0,0,0,0
NER,884.2439952,4.541648529,61.4584878,44.43748576,58.4,70.60041809,65.02478027,75.93636322,18.81945992,15.55871964,22.0778904,0,0,0
NGA,5472.251781,4.58328512,52.75426829,77.84154715,71.5,0,0,0,0,0,0,0,0,0
MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,65638.36808,0.008863122,82.1,112.6874832,2.2,100.1427231,100.1206207,100.163887,112.5950012,110.6188889,114.458252,76.78315735,91.37178802,62.9910202
OMN,38242.63852,0.056500483,77.08509756,157.7532566,10,110.935997,114.0606537,107.9248428,0,0,0,0,0,0
PAK,4831.750825,0.727696049,66.18336585,73.33219105,67.4,93.5630722,85.81017303,100.7343521,41.63825989,36.60602188,46.30624008,10.35523033,10.67045975,10.05655956
PLW,0,0,0,90.60055932,14.7,114.2956772,111.7910385,116.4921494,113.5977325,116.9366684,110.5047684,0,0,0
PAN,18841.67044,0.247799721,77.59514634,158.0542825,15.1,102.2235184,100.8738174,103.5202866,75.55860138,78.30693817,72.90316772,0,0,0
PNG,0,0.838158379,62.60692683,44.92845743,45.7,0,0,0,0,0,0,0,0,0
PRY,8091.526183,0.380226409,72.92170732,105.604533,18.1,0,0,0,0,0,0,0,0,0
PER,11052.93333,0.181445018,74.52553659,103.6106575,13.6,101.4220963,101.4283295,101.4161301,95.62184143,95.50203705,95.73562622,0,0,0
PHL,7979.56236,0.36550194,68.26563415,111.2187234,22.8,0,0,0,0,0,0,35.75333023,40.27378845,31.42387009
POL,23437.29833,0.004641387,77.60243902,148.8867021,4.5,100.5715179,100.6508789,100.4961777,108.1046829,106.0829086,110.028801,68.11361694,82.55194092,54.24689865
PRT,25571.21597,0.012600311,81.12195122,112.113913,3,108.5115585,106.1383591,110.7746582,116.395401,114.9664536,117.7931595,65.60738373,70.37529755,60.85480881
PRI,0,0.024119916,79.37473171,87.11106333,0,89.74832153,90.43052673,89.12319183,81.28881836,83.93383789,78.84304047,84.38378143,98.83125305,70.09346771
QAT,115743.0539,0.030129731,78.59680488,145.7647461,7,99.35037231,100.7763519,98.01995087,83.8015976,100.5273666,72.62526703,13.47710037,39.23258972,6.170710087
ROU,19422.23627,0.042715493,74.96097561,105.91415,10.1,0,0,0,94.77507782,94.28333282,95.24165344,53.21585846,59.06095886,47.71965027
RUS,24086.89326,0.044609744,70.74365854,155.144239,8.5,98.56413269,98.92050934,98.22441864,100.5862274,99.53362274,101.5874329,78.65337372,86.17415619,71.50765228
RWA,1578.744026,1.263232746,63.96565854,64.02469114,32.7,133.5823212,135.1156158,132.0382843,39.11576843,40.88542175,37.33050156,7.567520142,6.871749878,8.29335022
WSM,0,0.211169984,73.51182927,55.53012808,15.4,106.1592102,106.2644501,106.0607986,86.85121918,92.18222809,81.94091797,0,0,0
SMR,0,0,0,118.8481841,2.7,0,0,0,0,0,0,0,0,0
STP,0,0.762872487,66.38460976,64.93769014,35.5,111.7435532,109.4119186,114.0412903,76.89806366,80.44451904,73.40576172,9.753270149,9.047280312,10.44810963
SAU,50786.9603,0.034509829,74.33721951,179.5574636,12.9,108.7161484,108.2517166,109.1582336,108.2878799,93.74675751,122.5884933,61.11201859,59.85292816,62.35065079
SEN,2166.286394,1.700045748,66.37258537,98.84217748,42.3,80.87622833,84.30954742,77.51534271,0,0,0,10.34119987,7.722330093,12.95932961
SRB,12574.32052,0.025712601,75.33658537,122.132822,6,101.1311569,101.3632584,100.9113693,94.34441376,95.40973663,93.34008789,58.05496979,66.01104736,50.50505066
SYC,0,0,73.22926829,162.1932137,11.9,104.1484528,104.703331,103.615303,79.14945221,81.10218811,77.29202271,6.429049969,9.347100258,3.713320017
SLE,1658.278024,6.279078448,50.87878049,76.65603826,90.2,0,0,0,0,0,0,0,0,0
SGP,78289.13365,0.012435055,82.49512195,146.8850857,2.2,0,0,0,0,0,0,0,0,0
SXM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVK,26760.42917,0.008189198,76.81219512,116.9401341,6.1,100.9806824,100.3733292,101.5605392,91.92215729,92.34705353,91.51719666,52.92351151,64.58090973,41.77386093
SVN,28428.39814,0.014141143,81.07804878,112.0830105,2.2,99.30357361,99.37492371,99.2363205,110.6707535,110.5332565,110.8002472,82.92642975,98.48886871,68.19615173
SLB,0,0.48536918,67.93080488,65.75650459,24.2,113.8727264,112.1029968,115.5381699,0,0,0,0,0,0
SOM,0,4.818437105,55.35480488,50.89929334,87.4,0,0,0,0,0,0,0,0,0
ZAF,12136.91251,0.341525551,57.18212195,149.1935175,34.4,99.72310638,97.26885223,102.1564636,98.81967163,111.5193634,88.00019073,19.37507057,23.30780983,15.70069027
SSD,2113.521736,4.070760746,55.68221951,24.50094636,62,0,0,0,0,0,0,0,0,0
ESP,31088.74625,0.006827638,83.22926829,107.9458995,3.6,104.6902313,105.273201,104.1400909,130.1646576,130.4095764,129.9325256,89.07212067,96.92991638,81.51660919
LKA,10492.72073,0.066051544,74.79480488,103.1578481,8.6,101.2704468,100.1062393,102.423317,0,0,0,19.28763962,21.69252968,16.82328033
KNA,0,0,0,118.6369527,8.7,83.71916962,84.49017334,82.97046661,91.51831818,92.7511673,90.31456757,79.10482025,79.72782898,78.49610138
LCA,0,0.093709117,75.04685366,102.5888082,13,0,0,0,86.4571991,86.200737,86.71337891,16.86029053,22.85646057,10.94009018
MAF,0,0,79.32195122,0,0,0,0,0,0,0,0,0,0,0
VCT,0,0.095584593,72.93685366,105.1622459,17,104.710289,103.0431976,106.3416138,104.6867065,103.1762314,106.161232,0,0,0
SDN,3823.913544,1.442508533,63.45853659,72.19898961,48.8,0,0,0,0,0,0,16.32061005,16.82608032,15.82600975
SUR,15249.84343,0.382272874,71.15143902,170.5749874,19.5,119.9516678,118.2731476,121.583168,77.43170166,88.63712311,66.59509277,0,0,0
SWZ,7707.592835,1.360365032,48.93473171,72.31972132,45.8,112.7658081,107.9509811,117.5191498,66.02809143,65.80409241,66.24992371,0,0,0
SWE,45149.30373,0.007815084,82.25365854,127.8392622,2.4,120.9007568,124.2636185,117.7122421,132.9109344,141.5962982,124.7521973,62.35348129,75.9599762,49.39825058
CHE,57203.73943,0.00807617,83.19756098,136.6773982,3.5,103.2310028,103.2725372,103.1917038,99.76940918,98.2076416,101.2523117,57.22953033,57.70782852,56.76779938
SYR,0,0.214439831,70.07102439,63.85589141,11.7,0,0,0,0,0,0,43.85293961,44.98244095,42.81143188
TJK,0,0.131372851,69.59797561,95.12606037,39.7,97.34558868,97.13976288,97.53916168,0,0,0,24.47492027,18.40337944,30.37829018
TZA,2376.146567,2.329081629,64.94390244,62.77433234,36.2,83.71761322,84.6785965,82.74894714,0,0,0,0,0,0
THA,14082.17734,0.02948396,74.42202439,144.4387195,10.9,103.6888885,104.0782013,103.3172913,127.7326736,130.0553131,125.4791183,52.50537109,60.02941132,45.04175949
TLS,5061.317431,1.335378766,68.25914634,119.3771644,46.1,136.8142548,136.0469513,137.5494537,73.07430267,75.97303772,70.31391144,0,0,0
TGO,1130.097649,1.786217184,59.65580488,64.57824151,53.6,125.1124802,121.4028015,128.8045349,0,0,0,10.11762047,5.944610119,14.28450012
TON,0,0.452309036,72.79219512,64.28314836,14.7,108.0740967,107.4650497,108.6349335,90.09937286,94.22103882,86.35162354,0,0,0
TTO,28671.6762,0.118580901,70.44056098,147.3377795,18.7,0,0,0,0,0,0,0,0,0
TUN,0,0.143176402,74.83534146,128.4857675,12.6,113.0734863,111.39505,114.6778107,87.63240814,0,0,34.58367157,43.10461044,26.28510094
TUR,22204.83009,0.035796024,75.1635122,94.7933028,12.3,105.8253632,105.6008911,106.0408707,102.5412369,101.1407928,103.8913422,86.30901337,80.14215088,92.31926727
TKM,0,0.109063973,65.59853659,135.7804374,45,89.36720276,88.63847351,90.0760498,85.34142303,83.7067337,86.93266296,7.98443985,6.199890137,9.742199898
TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUV,0,0,0,38.40711542,23.4,101.3552094,102.1212082,100.673851,80.76663971,90.21276855,72.25064087,0,0,0
UGA,1630.095147,2.240059524,58.46641463,52.42923963,39.1,0,0,0,0,0,0,4.760819912,4.160850048,5.359250069
UKR,8147.356675,0.037466456,71.18658537,144.082159,8.1,103.914711,105.0628891,102.8341599,99.23693848,98.2201767,100.2025604,82.30503082,88.40454865,76.50205994
ARE,64236.76704,0.012709437,77.36817073,178.0615447,6.1,106.7116699,107.1076508,106.33564,0,0,0,0,0,0
GBR,37484.71787,0.017444455,81.30487805,123.5810846,3.7,108.2402115,108.0793533,108.3939438,127.8112869,130.402359,125.34021,56.47676849,64.12359619,49.0449791
USA,52701.32197,0.026312928,78.74146341,110.2041935,5.7,99.53204346,99.22924042,99.82280731,97.56468964,98.47281647,96.70288086,86.66396332,100.7020493,73.46839905
URY,19147.29776,0.031188488,76.98614634,160.7951457,9.1,108.554718,107.2960892,109.7587967,95.07186127,99.99600983,90.33161926,56.34403992,0,0
UZB,5625.054776,0.102919887,68.33902439,73.79116465,35,100.1556625,98.94944,101.3140182,96.33351898,95.56880188,97.06755829,8.57404995,6.497310162,10.58405972
VUT,2893.44589,0.292731042,71.91831707,60.41440025,23.5,0,0,0,0,0,0,0,0,0
VEN,0,0.245534615,74.23619512,98.95200348,13.2,100.8450012,99.69889832,101.944313,91.61128235,95.03968811,88.31703186,0,0,0
VNM,5105.72379,0.115190482,75.62912195,147.1108877,17.8,109.3546906,108.6183472,110.0412369,0,0,0,30.47773933,31.23133087,29.75564003
VIR,0,0,79.77317073,0,0,0,0,0,0,0,0,0,0,0
PSE,2946.069458,0.21391791,72.90402439,72.07515264,18.5,94.91425323,94.56700134,95.24732208,82.240448,86.17147064,78.46710205,44.00687027,53.76153946,34.62203979
YEM,0,1.752392085,63.81819512,68.48627079,35.1,0,0,0,0,0,0,0,0,0
ZMB,0,1.317162177,60.04704878,67.33816426,44.7,0,0,0,0,0,0,0,0,0
ZWE,1786.425625,1.78696701,57.49831707,80.81642131,47.6,0,0,0,0,0,0,0,0,0
